listing_key,ticker,exchange,asset_type,name,country,country_code,isin,sector,status,reason,official_reference_name,official_reference_source,covered_by_official_directory,cik,figi,lei
AMS::IDVA,IDVA,AMS,ETF,iShares EURO STOXX Select Dividend 30 UCITS ETF (DE) EUR Acc,Germany,DE,DE000A2QP380,,reference_gap,This exchange is only weakly covered by the current official reference layer.,,,True,,BBG013RGMD04,
ASX::AO3,AO3,ASX,ETF,APOLLO SERIES 2018-1 TRUST,Australia,AU,,,verified,Matched active official exchange directory listing.,APOLLO SERIES 2018-1 TRUST,asx_listed_companies,False,,,
ASX::HHIF,HHIF,ASX,ETF,HEJAZ High Innovation Active ETF,Australia,AU,,,reference_gap,This exchange is only partially covered by the current official reference layer.,,,False,,,
ASX::MVR,MVR,ASX,ETF,Vaneck Australian Resources ETF,Australia,AU,AU000000MVR8,Developed Markets,reference_gap,This exchange is only partially covered by the current official reference layer.,,,False,,BBG005D7XQZ6,
ASX::VDIF,VDIF,ASX,ETF,Vanguard Diversified Income ETF,Australia,AU,,,reference_gap,This exchange is only partially covered by the current official reference layer.,,,False,,,
B3::BIEV39,BIEV39,B3,ETF,iShares Trust - iShares Europe ETF,Brazil,BR,,,reference_gap,This exchange is only weakly covered by the current official reference layer.,,,True,,,
B3::HERT11,HERT11,B3,ETF,HEDGE BRASIL EQUITY REITS FUN DE ÍNDICE DE RES LIM,Brazil,BR,,,verified,Matched active official exchange directory listing.,HEDGE BRASIL EQUITY REITS FUN DE ÍNDICE DE RES LIM,b3_instruments_equities,True,,,
B3::XBIT11,XBIT11,B3,ETF,TREND ETF BLOOMBERG BITCOIN INDEX METHODOLOGY,Brazil,BR,,,verified,Matched active official exchange directory listing.,TREND ETF BLOOMBERG BITCOIN INDEX METHODOLOGY,b3_instruments_equities,True,,,
BATS::BBUS,BBUS,BATS,ETF,JPMorgan BetaBuilders U.S. Equity ETF,Australia,AU,AU00000BBUS4,Large Cap,verified,Matched active official exchange directory listing.,JPMorgan BetaBuilders U.S. Equity ETF,nasdaq_other_listed,True,,,
BATS::CVAR,CVAR,BATS,ETF,Cultivar ETF,United States,US,US26923N8763,,verified,Matched active official exchange directory listing.,Cultivar ETF,nasdaq_other_listed,True,,,
BATS::ESML,ESML,BATS,ETF,iShares ESG Aware MSCI USA Small-Cap ETF,United States,US,US46435U6635,Factors,verified,Matched active official exchange directory listing.,iShares ESG Aware MSCI USA Small-Cap ETF,nasdaq_other_listed,True,,,
BATS::GLXU,GLXU,BATS,ETF,GLXU,United States,US,,,name_mismatch,Dataset name does not match official exchange directory name.,T-REX 2X Long GLXY Daily Target ETF,nasdaq_other_listed,True,,,
BATS::IREX,IREX,BATS,ETF,Tradr 2X Long IREN Daily ETF,United States,US,,,verified,Matched active official exchange directory listing.,Tradr 2X Long IREN Daily ETF,nasdaq_other_listed,True,,,
BATS::LQDW,LQDW,BATS,ETF,iShares Trust - iShares Investment Grade Corporate Bond BuyWrite Strategy ETF,United States,US,US46436E2880,,verified,Matched active official exchange directory listing.,iShares Investment Grade Corporate Bond BuyWrite Strategy ETF,nasdaq_other_listed,True,,,
BATS::NUMV,NUMV,BATS,ETF,Nuveen ESG Mid-Cap Value ETF,United States,US,US67092P5089,Mid Cap,verified,Matched active official exchange directory listing.,Nuveen ESG Mid-Cap Value ETF,nasdaq_other_listed,True,,,
BATS::PTMC,PTMC,BATS,ETF,Pacer Trendpilot US Mid Cap ETF,United States,US,US69374H2040,Mid Cap,verified,Matched active official exchange directory listing.,Pacer Trendpilot US Mid Cap ETF,nasdaq_other_listed,True,,,
BATS::SMUP,SMUP,BATS,ETF,T-REX 2X Long SMR Daily Target ETF,United States,US,,,verified,Matched active official exchange directory listing.,T-REX 2X Long SMR Daily Target ETF,nasdaq_other_listed,True,,,
BATS::USHY,USHY,BATS,ETF,iShares Broad USD High Yield Corporate Bond ETF,Australia,AU,AU0000227696,High Yield Bonds,verified,Matched active official exchange directory listing.,iShares Broad USD High Yield Corporate Bond ETF,nasdaq_other_listed,True,,,
BATS::ZECP,ZECP,BATS,ETF,Zacks Trust - Zacks Earnings Consistent Portfolio ETF,United States,US,US98888G1058,,verified,Matched active official exchange directory listing.,Zacks Earnings Consistent Portfolio ETF,nasdaq_other_listed,True,,,
