target_listing_key,ticker,target_exchange,official_name,official_asset_type,official_isin,official_sector,official_source_key,official_source_url,official_source_context,existing_listing_keys,existing_exchanges,existing_names,existing_asset_types,existing_isins,same_isin_listing_keys,name_exact_match_listing_keys,asset_type_mismatch,existing_dataset_context,identity_evidence,identity_resolution_context,collision_risk_flags,identity_resolution_queue,review_bucket,review_priority,review_strategy,verification_evidence_required,recommended_next_source,source_gate,review_decision,clearance_evidence_required,recommended_next_action
ADX::AGIX,AGIX,ADX,KraneShares Artificial Intelligence & Technology ETF,ETF,US5007673636,Equity,adx_market_watch,https://www.adx.ae/english/pages/marketwatch.aspx,official_source_key=adx_market_watch;official_source_url=https://www.adx.ae/english/pages/marketwatch.aspx,NASDAQ::AGIX,NASDAQ,KraneShares Artificial Intelligence & Technology ETF,ETF,US5007673636,NASDAQ::AGIX,NASDAQ::AGIX,false,existing_listing_keys=NASDAQ::AGIX;existing_exchanges=NASDAQ;existing_isins=US5007673636;same_isin_listing_keys=NASDAQ::AGIX;name_exact_match_listing_keys=NASDAQ::AGIX;asset_type_mismatch=false,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,exchange_context=ADX::NASDAQ;identity_resolution_queue=review_cross_listing_same_isin_exact_name;review_bucket=same_isin_exact_name_cross_listing_candidate;identity_evidence=official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,review_cross_listing_same_isin_exact_name,same_isin_exact_name_cross_listing_candidate,P1,batch_review_same_isin_exact_name_cross_listing_scope,official_target_and_existing_exchange_directories_confirm_active_same_instrument,Official active-listing directories for both exchanges in ADX::NASDAQ.,Do not add or merge until both official exchange directories confirm the same active instrument.,same_isin_cross_listing_candidate_requires_exchange_scope_review,official_target_exchange_listing_status_mic_name_instrument_type,verify_target_exchange_listing_status_mic_name_and_instrument_type_before_cross_listing_add
AMS::3KWE,3KWE,AMS,Leverage Shares 3x Long China Tech ETP Securities,ETF,XS2800709128,,euronext_etfs,"https://live.euronext.com/en/product_directory/data/etf-all-markets/download?mics=ALXA,ALXB,ALXL,ALXP,ATFX,BGEM,ENXB,ENXL,ETFP,ETLX,EXGM,MERK,MIVX,MLXB,MOTX,MTAA,MTAH,MTCH,SEDX,TNLA,TNLB,VPXB,WOMF,XACD,XAMC,XAMS,XATL,XBRU,XDUB,XESM,XLDN,XLIS,XMLI,XMOT,XMSM,XOAM,XOAS,XOBD,XOSL,XPAR,XPMC","official_source_key=euronext_etfs;official_source_url=https://live.euronext.com/en/product_directory/data/etf-all-markets/download?mics=ALXA,ALXB,ALXL,ALXP,ATFX,BGEM,ENXB,ENXL,ETFP,ETLX,EXGM,MERK,MIVX,MLXB,MOTX,MTAA,MTAH,MTCH,SEDX,TNLA,TNLB,VPXB,WOMF,XACD,XAMC,XAMS,XATL,XBRU,XDUB,XESM,XLDN,XLIS,XMLI,XMOT,XMSM,XOAM,XOAS,XOBD,XOSL,XPAR,XPMC",LSE::3KWE,LSE,Leverage Shares 3x Long China Tech ETP Securities,ETF,XS2800709128,LSE::3KWE|LSE::KWE3|XETRA::3KWB,LSE::3KWE,false,existing_listing_keys=LSE::3KWE;existing_exchanges=LSE;existing_isins=XS2800709128;same_isin_listing_keys=LSE::3KWE|LSE::KWE3|XETRA::3KWB;name_exact_match_listing_keys=LSE::3KWE;asset_type_mismatch=false,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,exchange_context=AMS::LSE;identity_resolution_queue=review_cross_listing_same_isin_exact_name;review_bucket=same_isin_exact_name_cross_listing_candidate;identity_evidence=official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,review_cross_listing_same_isin_exact_name,same_isin_exact_name_cross_listing_candidate,P1,batch_review_same_isin_exact_name_cross_listing_scope,official_target_and_existing_exchange_directories_confirm_active_same_instrument,Official active-listing directories for both exchanges in AMS::LSE.,Do not add or merge until both official exchange directories confirm the same active instrument.,same_isin_cross_listing_candidate_requires_exchange_scope_review,official_target_exchange_listing_status_mic_name_instrument_type,verify_target_exchange_listing_status_mic_name_and_instrument_type_before_cross_listing_add
AMS::3PLT,3PLT,AMS,Leverage Shares 3x Palantir ETP Securities,ETF,XS2663694680,,euronext_etfs,"https://live.euronext.com/en/product_directory/data/etf-all-markets/download?mics=ALXA,ALXB,ALXL,ALXP,ATFX,BGEM,ENXB,ENXL,ETFP,ETLX,EXGM,MERK,MIVX,MLXB,MOTX,MTAA,MTAH,MTCH,SEDX,TNLA,TNLB,VPXB,WOMF,XACD,XAMC,XAMS,XATL,XBRU,XDUB,XESM,XLDN,XLIS,XMLI,XMOT,XMSM,XOAM,XOAS,XOBD,XOSL,XPAR,XPMC","official_source_key=euronext_etfs;official_source_url=https://live.euronext.com/en/product_directory/data/etf-all-markets/download?mics=ALXA,ALXB,ALXL,ALXP,ATFX,BGEM,ENXB,ENXL,ETFP,ETLX,EXGM,MERK,MIVX,MLXB,MOTX,MTAA,MTAH,MTCH,SEDX,TNLA,TNLB,VPXB,WOMF,XACD,XAMC,XAMS,XATL,XBRU,XDUB,XESM,XLDN,XLIS,XMLI,XMOT,XMSM,XOAM,XOAS,XOBD,XOSL,XPAR,XPMC",LSE::3PLT,LSE,Leverage Shares 3x Palantir ETP Securities,ETF,XS2663694680,LSE::3PLT|LSE::PLT3,LSE::3PLT,false,existing_listing_keys=LSE::3PLT;existing_exchanges=LSE;existing_isins=XS2663694680;same_isin_listing_keys=LSE::3PLT|LSE::PLT3;name_exact_match_listing_keys=LSE::3PLT;asset_type_mismatch=false,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,exchange_context=AMS::LSE;identity_resolution_queue=review_cross_listing_same_isin_exact_name;review_bucket=same_isin_exact_name_cross_listing_candidate;identity_evidence=official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,review_cross_listing_same_isin_exact_name,same_isin_exact_name_cross_listing_candidate,P1,batch_review_same_isin_exact_name_cross_listing_scope,official_target_and_existing_exchange_directories_confirm_active_same_instrument,Official active-listing directories for both exchanges in AMS::LSE.,Do not add or merge until both official exchange directories confirm the same active instrument.,same_isin_cross_listing_candidate_requires_exchange_scope_review,official_target_exchange_listing_status_mic_name_instrument_type,verify_target_exchange_listing_status_mic_name_and_instrument_type_before_cross_listing_add
AMS::3SMH,3SMH,AMS,Leverage Shares 3x Long Semiconductors ETP Securities,ETF,XS2399367502,,euronext_etfs,"https://live.euronext.com/en/product_directory/data/etf-all-markets/download?mics=ALXA,ALXB,ALXL,ALXP,ATFX,BGEM,ENXB,ENXL,ETFP,ETLX,EXGM,MERK,MIVX,MLXB,MOTX,MTAA,MTAH,MTCH,SEDX,TNLA,TNLB,VPXB,WOMF,XACD,XAMC,XAMS,XATL,XBRU,XDUB,XESM,XLDN,XLIS,XMLI,XMOT,XMSM,XOAM,XOAS,XOBD,XOSL,XPAR,XPMC","official_source_key=euronext_etfs;official_source_url=https://live.euronext.com/en/product_directory/data/etf-all-markets/download?mics=ALXA,ALXB,ALXL,ALXP,ATFX,BGEM,ENXB,ENXL,ETFP,ETLX,EXGM,MERK,MIVX,MLXB,MOTX,MTAA,MTAH,MTCH,SEDX,TNLA,TNLB,VPXB,WOMF,XACD,XAMC,XAMS,XATL,XBRU,XDUB,XESM,XLDN,XLIS,XMLI,XMOT,XMSM,XOAM,XOAS,XOBD,XOSL,XPAR,XPMC",LSE::3SMH,LSE,Leverage Shares 3x Long Semiconductors ETP Securities,ETF,XS2399367502,LSE::3SMH|LSE::SM3E|LSE::SMH3|XETRA::3SIC,LSE::3SMH,false,existing_listing_keys=LSE::3SMH;existing_exchanges=LSE;existing_isins=XS2399367502;same_isin_listing_keys=LSE::3SMH|LSE::SM3E|LSE::SMH3|XETRA::3SIC;name_exact_match_listing_keys=LSE::3SMH;asset_type_mismatch=false,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,exchange_context=AMS::LSE;identity_resolution_queue=review_cross_listing_same_isin_exact_name;review_bucket=same_isin_exact_name_cross_listing_candidate;identity_evidence=official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,review_cross_listing_same_isin_exact_name,same_isin_exact_name_cross_listing_candidate,P1,batch_review_same_isin_exact_name_cross_listing_scope,official_target_and_existing_exchange_directories_confirm_active_same_instrument,Official active-listing directories for both exchanges in AMS::LSE.,Do not add or merge until both official exchange directories confirm the same active instrument.,same_isin_cross_listing_candidate_requires_exchange_scope_review,official_target_exchange_listing_status_mic_name_instrument_type,verify_target_exchange_listing_status_mic_name_and_instrument_type_before_cross_listing_add
AMS::3TSM,3TSM,AMS,Leverage Shares 3x Long Taiwan Semiconductor (TSM) ETP Securities,ETF,XS2399365043,,euronext_etfs,"https://live.euronext.com/en/product_directory/data/etf-all-markets/download?mics=ALXA,ALXB,ALXL,ALXP,ATFX,BGEM,ENXB,ENXL,ETFP,ETLX,EXGM,MERK,MIVX,MLXB,MOTX,MTAA,MTAH,MTCH,SEDX,TNLA,TNLB,VPXB,WOMF,XACD,XAMC,XAMS,XATL,XBRU,XDUB,XESM,XLDN,XLIS,XMLI,XMOT,XMSM,XOAM,XOAS,XOBD,XOSL,XPAR,XPMC","official_source_key=euronext_etfs;official_source_url=https://live.euronext.com/en/product_directory/data/etf-all-markets/download?mics=ALXA,ALXB,ALXL,ALXP,ATFX,BGEM,ENXB,ENXL,ETFP,ETLX,EXGM,MERK,MIVX,MLXB,MOTX,MTAA,MTAH,MTCH,SEDX,TNLA,TNLB,VPXB,WOMF,XACD,XAMC,XAMS,XATL,XBRU,XDUB,XESM,XLDN,XLIS,XMLI,XMOT,XMSM,XOAM,XOAS,XOBD,XOSL,XPAR,XPMC",LSE::3TSM,LSE,Leverage Shares 3x Long Taiwan Semiconductor (TSM) ETP Securities,ETF,XS2399365043,LSE::3TSM|LSE::TSM3|XETRA::TS3E,LSE::3TSM,false,existing_listing_keys=LSE::3TSM;existing_exchanges=LSE;existing_isins=XS2399365043;same_isin_listing_keys=LSE::3TSM|LSE::TSM3|XETRA::TS3E;name_exact_match_listing_keys=LSE::3TSM;asset_type_mismatch=false,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,exchange_context=AMS::LSE;identity_resolution_queue=review_cross_listing_same_isin_exact_name;review_bucket=same_isin_exact_name_cross_listing_candidate;identity_evidence=official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,review_cross_listing_same_isin_exact_name,same_isin_exact_name_cross_listing_candidate,P1,batch_review_same_isin_exact_name_cross_listing_scope,official_target_and_existing_exchange_directories_confirm_active_same_instrument,Official active-listing directories for both exchanges in AMS::LSE.,Do not add or merge until both official exchange directories confirm the same active instrument.,same_isin_cross_listing_candidate_requires_exchange_scope_review,official_target_exchange_listing_status_mic_name_instrument_type,verify_target_exchange_listing_status_mic_name_and_instrument_type_before_cross_listing_add
AMS::AGED,AGED,AMS,iShares Ageing Population UCITS ETF USD (Acc),ETF,IE00BYZK4669,,euronext_etfs,"https://live.euronext.com/en/product_directory/data/etf-all-markets/download?mics=ALXA,ALXB,ALXL,ALXP,ATFX,BGEM,ENXB,ENXL,ETFP,ETLX,EXGM,MERK,MIVX,MLXB,MOTX,MTAA,MTAH,MTCH,SEDX,TNLA,TNLB,VPXB,WOMF,XACD,XAMC,XAMS,XATL,XBRU,XDUB,XESM,XLDN,XLIS,XMLI,XMOT,XMSM,XOAM,XOAS,XOBD,XOSL,XPAR,XPMC","official_source_key=euronext_etfs;official_source_url=https://live.euronext.com/en/product_directory/data/etf-all-markets/download?mics=ALXA,ALXB,ALXL,ALXP,ATFX,BGEM,ENXB,ENXL,ETFP,ETLX,EXGM,MERK,MIVX,MLXB,MOTX,MTAA,MTAH,MTCH,SEDX,TNLA,TNLB,VPXB,WOMF,XACD,XAMC,XAMS,XATL,XBRU,XDUB,XESM,XLDN,XLIS,XMLI,XMOT,XMSM,XOAM,XOAS,XOBD,XOSL,XPAR,XPMC",LSE::AGED,LSE,iShares Ageing Population UCITS ETF USD (Acc),ETF,IE00BYZK4669,LSE::AGED|LSE::AGES|XETRA::2B77,LSE::AGED,false,existing_listing_keys=LSE::AGED;existing_exchanges=LSE;existing_isins=IE00BYZK4669;same_isin_listing_keys=LSE::AGED|LSE::AGES|XETRA::2B77;name_exact_match_listing_keys=LSE::AGED;asset_type_mismatch=false,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,exchange_context=AMS::LSE;identity_resolution_queue=review_cross_listing_same_isin_exact_name;review_bucket=same_isin_exact_name_cross_listing_candidate;identity_evidence=official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,review_cross_listing_same_isin_exact_name,same_isin_exact_name_cross_listing_candidate,P1,batch_review_same_isin_exact_name_cross_listing_scope,official_target_and_existing_exchange_directories_confirm_active_same_instrument,Official active-listing directories for both exchanges in AMS::LSE.,Do not add or merge until both official exchange directories confirm the same active instrument.,same_isin_cross_listing_candidate_requires_exchange_scope_review,official_target_exchange_listing_status_mic_name_instrument_type,verify_target_exchange_listing_status_mic_name_and_instrument_type_before_cross_listing_add
AMS::AUCO,AUCO,AMS,L&G Gold Mining UCITS ETF,ETF,IE00B3CNHG25,,euronext_etfs,"https://live.euronext.com/en/product_directory/data/etf-all-markets/download?mics=ALXA,ALXB,ALXL,ALXP,ATFX,BGEM,ENXB,ENXL,ETFP,ETLX,EXGM,MERK,MIVX,MLXB,MOTX,MTAA,MTAH,MTCH,SEDX,TNLA,TNLB,VPXB,WOMF,XACD,XAMC,XAMS,XATL,XBRU,XDUB,XESM,XLDN,XLIS,XMLI,XMOT,XMSM,XOAM,XOAS,XOBD,XOSL,XPAR,XPMC","official_source_key=euronext_etfs;official_source_url=https://live.euronext.com/en/product_directory/data/etf-all-markets/download?mics=ALXA,ALXB,ALXL,ALXP,ATFX,BGEM,ENXB,ENXL,ETFP,ETLX,EXGM,MERK,MIVX,MLXB,MOTX,MTAA,MTAH,MTCH,SEDX,TNLA,TNLB,VPXB,WOMF,XACD,XAMC,XAMS,XATL,XBRU,XDUB,XESM,XLDN,XLIS,XMLI,XMOT,XMSM,XOAM,XOAS,XOBD,XOSL,XPAR,XPMC",LSE::AUCO,LSE,L&G Gold Mining UCITS ETF,ETF,IE00B3CNHG25,LSE::AUCO|LSE::AUCP|XETRA::ETLX,LSE::AUCO,false,existing_listing_keys=LSE::AUCO;existing_exchanges=LSE;existing_isins=IE00B3CNHG25;same_isin_listing_keys=LSE::AUCO|LSE::AUCP|XETRA::ETLX;name_exact_match_listing_keys=LSE::AUCO;asset_type_mismatch=false,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,exchange_context=AMS::LSE;identity_resolution_queue=review_cross_listing_same_isin_exact_name;review_bucket=same_isin_exact_name_cross_listing_candidate;identity_evidence=official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,review_cross_listing_same_isin_exact_name,same_isin_exact_name_cross_listing_candidate,P1,batch_review_same_isin_exact_name_cross_listing_scope,official_target_and_existing_exchange_directories_confirm_active_same_instrument,Official active-listing directories for both exchanges in AMS::LSE.,Do not add or merge until both official exchange directories confirm the same active instrument.,same_isin_cross_listing_candidate_requires_exchange_scope_review,official_target_exchange_listing_status_mic_name_instrument_type,verify_target_exchange_listing_status_mic_name_and_instrument_type_before_cross_listing_add
AMS::BABY,BABY,AMS,IncomeShares Alibaba (BABA) Options ETP,ETF,XS3068774887,,euronext_etfs,"https://live.euronext.com/en/product_directory/data/etf-all-markets/download?mics=ALXA,ALXB,ALXL,ALXP,ATFX,BGEM,ENXB,ENXL,ETFP,ETLX,EXGM,MERK,MIVX,MLXB,MOTX,MTAA,MTAH,MTCH,SEDX,TNLA,TNLB,VPXB,WOMF,XACD,XAMC,XAMS,XATL,XBRU,XDUB,XESM,XLDN,XLIS,XMLI,XMOT,XMSM,XOAM,XOAS,XOBD,XOSL,XPAR,XPMC","official_source_key=euronext_etfs;official_source_url=https://live.euronext.com/en/product_directory/data/etf-all-markets/download?mics=ALXA,ALXB,ALXL,ALXP,ATFX,BGEM,ENXB,ENXL,ETFP,ETLX,EXGM,MERK,MIVX,MLXB,MOTX,MTAA,MTAH,MTCH,SEDX,TNLA,TNLB,VPXB,WOMF,XACD,XAMC,XAMS,XATL,XBRU,XDUB,XESM,XLDN,XLIS,XMLI,XMOT,XMSM,XOAM,XOAS,XOBD,XOSL,XPAR,XPMC",LSE::BABY,LSE,IncomeShares Alibaba (BABA) Options ETP,ETF,XS3068774887,LSE::BABI|LSE::BABY,LSE::BABY,false,existing_listing_keys=LSE::BABY;existing_exchanges=LSE;existing_isins=XS3068774887;same_isin_listing_keys=LSE::BABI|LSE::BABY;name_exact_match_listing_keys=LSE::BABY;asset_type_mismatch=false,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,exchange_context=AMS::LSE;identity_resolution_queue=review_cross_listing_same_isin_exact_name;review_bucket=same_isin_exact_name_cross_listing_candidate;identity_evidence=official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,review_cross_listing_same_isin_exact_name,same_isin_exact_name_cross_listing_candidate,P1,batch_review_same_isin_exact_name_cross_listing_scope,official_target_and_existing_exchange_directories_confirm_active_same_instrument,Official active-listing directories for both exchanges in AMS::LSE.,Do not add or merge until both official exchange directories confirm the same active instrument.,same_isin_cross_listing_candidate_requires_exchange_scope_review,official_target_exchange_listing_status_mic_name_instrument_type,verify_target_exchange_listing_status_mic_name_and_instrument_type_before_cross_listing_add
AMS::CNDX,CNDX,AMS,iShares NASDAQ 100 UCITS ETF USD (Acc),ETF,IE00B53SZB19,,euronext_etfs,"https://live.euronext.com/en/product_directory/data/etf-all-markets/download?mics=ALXA,ALXB,ALXL,ALXP,ATFX,BGEM,ENXB,ENXL,ETFP,ETLX,EXGM,MERK,MIVX,MLXB,MOTX,MTAA,MTAH,MTCH,SEDX,TNLA,TNLB,VPXB,WOMF,XACD,XAMC,XAMS,XATL,XBRU,XDUB,XESM,XLDN,XLIS,XMLI,XMOT,XMSM,XOAM,XOAS,XOBD,XOSL,XPAR,XPMC","official_source_key=euronext_etfs;official_source_url=https://live.euronext.com/en/product_directory/data/etf-all-markets/download?mics=ALXA,ALXB,ALXL,ALXP,ATFX,BGEM,ENXB,ENXL,ETFP,ETLX,EXGM,MERK,MIVX,MLXB,MOTX,MTAA,MTAH,MTCH,SEDX,TNLA,TNLB,VPXB,WOMF,XACD,XAMC,XAMS,XATL,XBRU,XDUB,XESM,XLDN,XLIS,XMLI,XMOT,XMSM,XOAM,XOAS,XOBD,XOSL,XPAR,XPMC",LSE::CNDX,LSE,iShares NASDAQ 100 UCITS ETF USD (Acc),ETF,IE00B53SZB19,BMV::CNDXN|LSE::CNDX|LSE::CNX1|OTC::ISVAF|SIX::CSNDX|TASE::IS-FF701|XETRA::SXRV,LSE::CNDX,false,existing_listing_keys=LSE::CNDX;existing_exchanges=LSE;existing_isins=IE00B53SZB19;same_isin_listing_keys=BMV::CNDXN|LSE::CNDX|LSE::CNX1|OTC::ISVAF|SIX::CSNDX|TASE::IS-FF701|XETRA::SXRV;name_exact_match_listing_keys=LSE::CNDX;asset_type_mismatch=false,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,exchange_context=AMS::LSE;identity_resolution_queue=review_cross_listing_same_isin_exact_name;review_bucket=same_isin_exact_name_cross_listing_candidate;identity_evidence=official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,review_cross_listing_same_isin_exact_name,same_isin_exact_name_cross_listing_candidate,P1,batch_review_same_isin_exact_name_cross_listing_scope,official_target_and_existing_exchange_directories_confirm_active_same_instrument,Official active-listing directories for both exchanges in AMS::LSE.,Do not add or merge until both official exchange directories confirm the same active instrument.,same_isin_cross_listing_candidate_requires_exchange_scope_review,official_target_exchange_listing_status_mic_name_instrument_type,verify_target_exchange_listing_status_mic_name_and_instrument_type_before_cross_listing_add
AMS::COIY,COIY,AMS,IncomeShares Coinbase (COIN) Options ETP,ETF,XS2901886445,,euronext_etfs,"https://live.euronext.com/en/product_directory/data/etf-all-markets/download?mics=ALXA,ALXB,ALXL,ALXP,ATFX,BGEM,ENXB,ENXL,ETFP,ETLX,EXGM,MERK,MIVX,MLXB,MOTX,MTAA,MTAH,MTCH,SEDX,TNLA,TNLB,VPXB,WOMF,XACD,XAMC,XAMS,XATL,XBRU,XDUB,XESM,XLDN,XLIS,XMLI,XMOT,XMSM,XOAM,XOAS,XOBD,XOSL,XPAR,XPMC","official_source_key=euronext_etfs;official_source_url=https://live.euronext.com/en/product_directory/data/etf-all-markets/download?mics=ALXA,ALXB,ALXL,ALXP,ATFX,BGEM,ENXB,ENXL,ETFP,ETLX,EXGM,MERK,MIVX,MLXB,MOTX,MTAA,MTAH,MTCH,SEDX,TNLA,TNLB,VPXB,WOMF,XACD,XAMC,XAMS,XATL,XBRU,XDUB,XESM,XLDN,XLIS,XMLI,XMOT,XMSM,XOAM,XOAS,XOBD,XOSL,XPAR,XPMC",LSE::COIY,LSE,IncomeShares Coinbase (COIN) Options ETP,ETF,XS2901886445,BATS::COII|LSE::COIY,LSE::COIY,false,existing_listing_keys=LSE::COIY;existing_exchanges=LSE;existing_isins=XS2901886445;same_isin_listing_keys=BATS::COII|LSE::COIY;name_exact_match_listing_keys=LSE::COIY;asset_type_mismatch=false,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,exchange_context=AMS::LSE;identity_resolution_queue=review_cross_listing_same_isin_exact_name;review_bucket=same_isin_exact_name_cross_listing_candidate;identity_evidence=official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,review_cross_listing_same_isin_exact_name,same_isin_exact_name_cross_listing_candidate,P1,batch_review_same_isin_exact_name_cross_listing_scope,official_target_and_existing_exchange_directories_confirm_active_same_instrument,Official active-listing directories for both exchanges in AMS::LSE.,Do not add or merge until both official exchange directories confirm the same active instrument.,same_isin_cross_listing_candidate_requires_exchange_scope_review,official_target_exchange_listing_status_mic_name_instrument_type,verify_target_exchange_listing_status_mic_name_and_instrument_type_before_cross_listing_add
AMS::COMF,COMF,AMS,L&G Longer Dated All Commodities UCITS ETF,ETF,IE00B4WPHX27,,euronext_etfs,"https://live.euronext.com/en/product_directory/data/etf-all-markets/download?mics=ALXA,ALXB,ALXL,ALXP,ATFX,BGEM,ENXB,ENXL,ETFP,ETLX,EXGM,MERK,MIVX,MLXB,MOTX,MTAA,MTAH,MTCH,SEDX,TNLA,TNLB,VPXB,WOMF,XACD,XAMC,XAMS,XATL,XBRU,XDUB,XESM,XLDN,XLIS,XMLI,XMOT,XMSM,XOAM,XOAS,XOBD,XOSL,XPAR,XPMC","official_source_key=euronext_etfs;official_source_url=https://live.euronext.com/en/product_directory/data/etf-all-markets/download?mics=ALXA,ALXB,ALXL,ALXP,ATFX,BGEM,ENXB,ENXL,ETFP,ETLX,EXGM,MERK,MIVX,MLXB,MOTX,MTAA,MTAH,MTCH,SEDX,TNLA,TNLB,VPXB,WOMF,XACD,XAMC,XAMS,XATL,XBRU,XDUB,XESM,XLDN,XLIS,XMLI,XMOT,XMSM,XOAM,XOAS,XOBD,XOSL,XPAR,XPMC",LSE::COMF,LSE,L&G Longer Dated All Commodities UCITS ETF,ETF,IE00B4WPHX27,LSE::CMFP|LSE::COMF|XETRA::ETL2,LSE::COMF,false,existing_listing_keys=LSE::COMF;existing_exchanges=LSE;existing_isins=IE00B4WPHX27;same_isin_listing_keys=LSE::CMFP|LSE::COMF|XETRA::ETL2;name_exact_match_listing_keys=LSE::COMF;asset_type_mismatch=false,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,exchange_context=AMS::LSE;identity_resolution_queue=review_cross_listing_same_isin_exact_name;review_bucket=same_isin_exact_name_cross_listing_candidate;identity_evidence=official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,review_cross_listing_same_isin_exact_name,same_isin_exact_name_cross_listing_candidate,P1,batch_review_same_isin_exact_name_cross_listing_scope,official_target_and_existing_exchange_directories_confirm_active_same_instrument,Official active-listing directories for both exchanges in AMS::LSE.,Do not add or merge until both official exchange directories confirm the same active instrument.,same_isin_cross_listing_candidate_requires_exchange_scope_review,official_target_exchange_listing_status_mic_name_instrument_type,verify_target_exchange_listing_status_mic_name_and_instrument_type_before_cross_listing_add
AMS::CSPX,CSPX,AMS,iShares Core S&P 500 UCITS ETF USD (Acc),ETF,IE00B5BMR087,,euronext_etfs,"https://live.euronext.com/en/product_directory/data/etf-all-markets/download?mics=ALXA,ALXB,ALXL,ALXP,ATFX,BGEM,ENXB,ENXL,ETFP,ETLX,EXGM,MERK,MIVX,MLXB,MOTX,MTAA,MTAH,MTCH,SEDX,TNLA,TNLB,VPXB,WOMF,XACD,XAMC,XAMS,XATL,XBRU,XDUB,XESM,XLDN,XLIS,XMLI,XMOT,XMSM,XOAM,XOAS,XOBD,XOSL,XPAR,XPMC","official_source_key=euronext_etfs;official_source_url=https://live.euronext.com/en/product_directory/data/etf-all-markets/download?mics=ALXA,ALXB,ALXL,ALXP,ATFX,BGEM,ENXB,ENXL,ETFP,ETLX,EXGM,MERK,MIVX,MLXB,MOTX,MTAA,MTAH,MTCH,SEDX,TNLA,TNLB,VPXB,WOMF,XACD,XAMC,XAMS,XATL,XBRU,XDUB,XESM,XLDN,XLIS,XMLI,XMOT,XMSM,XOAM,XOAS,XOBD,XOSL,XPAR,XPMC",LSE::CSPX,LSE,iShares Core S&P 500 UCITS ETF USD (Acc),ETF,IE00B5BMR087,BMV::CSPXN|LSE::CSP1|LSE::CSPX|SIX::CSSPX|TASE::IS-FF702|XETRA::SXR8,LSE::CSPX,false,existing_listing_keys=LSE::CSPX;existing_exchanges=LSE;existing_isins=IE00B5BMR087;same_isin_listing_keys=BMV::CSPXN|LSE::CSP1|LSE::CSPX|SIX::CSSPX|TASE::IS-FF702|XETRA::SXR8;name_exact_match_listing_keys=LSE::CSPX;asset_type_mismatch=false,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,exchange_context=AMS::LSE;identity_resolution_queue=review_cross_listing_same_isin_exact_name;review_bucket=same_isin_exact_name_cross_listing_candidate;identity_evidence=official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,review_cross_listing_same_isin_exact_name,same_isin_exact_name_cross_listing_candidate,P1,batch_review_same_isin_exact_name_cross_listing_scope,official_target_and_existing_exchange_directories_confirm_active_same_instrument,Official active-listing directories for both exchanges in AMS::LSE.,Do not add or merge until both official exchange directories confirm the same active instrument.,same_isin_cross_listing_candidate_requires_exchange_scope_review,official_target_exchange_listing_status_mic_name_instrument_type,verify_target_exchange_listing_status_mic_name_and_instrument_type_before_cross_listing_add
