listing_key,ticker,exchange,asset_type,name,country,country_code,isin,sector,status,reason,official_reference_name,official_reference_source,covered_by_official_directory,cik,figi,lei
AMS::EMPA,EMPA,AMS,ETF,iShares MSCI EMU Paris-Aligned Climate UCITS ETF EUR Acc,Ireland,IE,IE00BL6K8D99,,reference_gap,This exchange is only weakly covered by the current official reference layer.,,,True,,BBG011XMGRT3,
ASX::1GOV,1GOV,ASX,ETF,Vaneck 1-5 Year Australian Government Bond ETF,Australia,AU,AU0000295180,,reference_gap,This exchange is only partially covered by the current official reference layer.,,,False,,BBG01J9QSSG1,
ASX::GGAB,GGAB,ASX,ETF,Betashares Geared Long Aus GOV Bond Complex ETF,Australia,AU,AU0000307944,,reference_gap,This exchange is only partially covered by the current official reference layer.,,,False,,BBG01KDCVWJ8,
ASX::MF5,MF5,ASX,ETF,METRO FINANCE 2023-2 TRUST,Australia,AU,,,verified,Matched active official exchange directory listing.,METRO FINANCE 2023-2 TRUST,asx_listed_companies,False,,,
ASX::SVNP,SVNP,ASX,ETF,Savana US Small Caps Active ETF,Australia,AU,,,reference_gap,This exchange is only partially covered by the current official reference layer.,,,False,,,
B3::BEWC39,BEWC39,B3,ETF,iShares Inc. - iShares MSCI Canada ETF,Brazil,BR,,,reference_gap,This exchange is only weakly covered by the current official reference layer.,,,True,,,
B3::FGAA11,FGAA11,B3,ETF,FG/Agro Fundo De Investimento Nas Cadeias Produtivas Agroindustriais - Fiagro-Imobiliario,Brazil,BR,,,reference_gap,This exchange is only weakly covered by the current official reference layer.,,,True,,,
B3::TECX11,TECX11,B3,ETF,B-INDEX ETF CONNECT CHINA AMC CHINEXT FDO DE ÍNDIC,Brazil,BR,,,verified,Matched active official exchange directory listing.,B-INDEX ETF CONNECT CHINA AMC CHINEXT FDO DE ÍNDIC,b3_instruments_equities,True,,,
BATS::BALT,BALT,BATS,ETF,Innovator Defined Wealth Shield ETF,Norway,NO,NO0010810476,Real Estate,verified,Matched active official exchange directory listing.,Innovator Defined Wealth Shield ETF,nasdaq_other_listed,True,,,
BATS::CLSX,CLSX,BATS,ETF,Tradr 2X Long CLSK Daily ETF,United States,US,,,verified,Matched active official exchange directory listing.,Tradr 2X Long CLSK Daily ETF,nasdaq_other_listed,True,,,
BATS::EDEN,EDEN,BATS,ETF,iShares MSCI Denmark ETF,,,,Materials,verified,Matched active official exchange directory listing.,iShares MSCI Denmark ETF,nasdaq_other_listed,True,,,
BATS::GAPR,GAPR,BATS,ETF,First Trust Exchange-Traded Fund VIII - FT Cboe Vest U.S. Equity Moderate Buffer ETF - April,United States,US,US33740F4587,,verified,Matched active official exchange directory listing.,FT Vest U.S. Equity Moderate Buffer ETF - April,nasdaq_other_listed,True,,,
BATS::IDV,IDV,BATS,ETF,iShares International Select Dividend ETF,United States,US,US4642884484,Developed Markets,verified,Matched active official exchange directory listing.,iShares International Select Dividend ETF,nasdaq_other_listed,True,,,
BATS::LCOW,LCOW,BATS,ETF,Pacer S&P 500 Quality FCF Aristocrats ETF,United States,US,,,verified,Matched active official exchange directory listing.,Pacer S&P 500 Quality FCF Aristocrats ETF,nasdaq_other_listed,True,,,
BATS::NIHI,NIHI,BATS,ETF,NEOS MSCI EAFE High Income ETF,United States,US,,,verified,Matched active official exchange directory listing.,NEOS MSCI EAFE High Income ETF,nasdaq_other_listed,True,,,
BATS::PNOV,PNOV,BATS,ETF,Innovator S&P 500 Power Buffer ETF - November,United States,US,US45782C5739,Large Cap,verified,Matched active official exchange directory listing.,Innovator U.S. Equity Power Buffer ETF - November,nasdaq_other_listed,True,,,
BATS::SEPP,SEPP,BATS,ETF,PGIM US Large-Cap Buffer 12 ETF - September,United States,US,,,verified,Matched active official exchange directory listing.,PGIM S&P 500 Buffer 12 ETF - September,nasdaq_other_listed,True,,,
BATS::TUSI,TUSI,BATS,ETF,Touchstone ETF Trust - Touchstone Ultra Short Income ETF,United States,US,US89157W3016,,verified,Matched active official exchange directory listing.,Touchstone Ultra Short Income ETF,nasdaq_other_listed,True,,,
BATS::XRPK,XRPK,BATS,ETF,T-REX 2X Long XRP Daily Target ETF,United States,US,,,verified,Matched active official exchange directory listing.,T-REX 2X Long XRP Daily Target ETF,nasdaq_other_listed,True,,,
